stage,idx,SR_LOOKBACK,SR_PIVOT_WINDOW,SR_MERGE_ATR_MULT,ZONE_TOLERANCE_ATR_MULT,total,triggered,coverage,wins_1m,losses_1m,wr_1m,wins_3m,losses_3m,wr_3m,wins_5m,losses_5m,wr_5m,objective
support_resistance,3,40,2,0.3,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,4,40,2,0.3,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,5,40,2,0.3,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,9,40,2,0.5,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,10,40,2,0.5,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,15,40,2,0.8,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,18,40,3,0.3,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,19,40,3,0.3,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,20,40,3,0.3,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,23,40,3,0.5,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,24,40,3,0.5,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,25,40,3,0.5,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,30,40,3,0.8,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,33,40,4,0.3,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,34,40,4,0.3,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,35,40,4,0.3,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,38,40,4,0.5,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,39,40,4,0.5,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
