stage,idx,MIN_SCORE,MIN_WICK_TO_BODY_RATIO,ATR_MIN,ATR_MAX,total,triggered,coverage,wins_1m,losses_1m,wr_1m,wins_3m,losses_3m,wr_3m,wins_5m,losses_5m,wr_5m,objective
fine_tuning,1,5.0,1.2,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,2,5.0,1.2,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,3,5.0,1.2,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,4,5.0,1.2,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,5,5.0,1.2,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,6,5.0,1.2,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,7,5.0,1.5,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,8,5.0,1.5,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,9,5.0,1.5,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,10,5.0,1.5,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,11,5.0,1.5,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,12,5.0,1.5,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,13,5.0,1.8,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,14,5.0,1.8,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,15,5.0,1.8,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,16,5.0,1.8,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,17,5.0,1.8,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,18,5.0,1.8,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,19,6.0,1.2,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,20,6.0,1.2,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,21,6.0,1.2,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,22,6.0,1.2,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,23,6.0,1.2,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,24,6.0,1.2,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,25,6.0,1.5,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,26,6.0,1.5,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,27,6.0,1.5,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,28,6.0,1.5,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,29,6.0,1.5,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,30,6.0,1.5,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,31,6.0,1.8,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,32,6.0,1.8,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,33,6.0,1.8,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,34,6.0,1.8,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,35,6.0,1.8,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,36,6.0,1.8,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,37,7.0,1.2,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,38,7.0,1.2,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,39,7.0,1.2,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,40,7.0,1.2,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,41,7.0,1.2,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,42,7.0,1.2,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,43,7.0,1.5,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,44,7.0,1.5,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,45,7.0,1.5,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,46,7.0,1.5,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,47,7.0,1.5,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,48,7.0,1.5,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,49,7.0,1.8,3e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,50,7.0,1.8,3e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,51,7.0,1.8,3e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,52,7.0,1.8,4e-05,0.00035,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,53,7.0,1.8,4e-05,0.0004,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
fine_tuning,54,7.0,1.8,4e-05,0.0005,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
