scanned_at,asset,direction,score,threshold,gap,vela_ops_file,matched_seconds,entry_price,close_1m,close_3m,close_5m,result_1m,result_3m,result_5m
2026-05-05T11:09:38-03:00,USDNGN_otc,PUT,67.0,68.0,1.0,20260505_110932_USDNGN_otc_BROKEN_BELOW_80.json,5.6,1373.51,1373.42,1374.31,1374.47,WIN,LOSS,LOSS
2026-05-05T10:13:28-03:00,DOTUSD_otc,PUT,64.0,65.0,1.0,20260505_101312_DOTUSD_otc_BROKEN_BELOW_2.json,15.2,1.3961,1.3952,1.3915,1.3921,WIN,WIN,WIN
2026-05-05T10:14:12-03:00,DOTUSD_otc,PUT,64.0,65.0,1.0,20260505_101428_DOTUSD_otc_BROKEN_BELOW_7.json,16.3,1.3156,1.319,1.3244,1.3289,LOSS,LOSS,LOSS
2026-05-05T10:27:56-03:00,USDNGN_otc,PUT,63.8,65.0,1.2,20260505_102809_USDNGN_otc_BROKEN_BELOW_32.json,13.4,1376.13,1375.85,1375.99,1375.85,WIN,WIN,WIN
2026-05-05T10:15:27-03:00,TONUSD_otc,CALL,63.0,65.0,2.0,20260505_101514_TONUSD_otc_BROKEN_ABOVE_9.json,13.0,1.3772,1.3772,1.3773,1.374,DRAW,WIN,LOSS
2026-05-05T10:42:33-03:00,ETHUSD_otc,PUT,60.0,62.0,2.0,20260505_104159_ETHUSD_otc_BROKEN_BELOW_52.json,33.3,2411.19,2410.62,,,WIN,NO_DATA,NO_DATA
2026-05-05T11:01:44-03:00,DASUSD_otc,PUT,62.2,65.0,2.8,20260505_110121_DASUSD_otc_BROKEN_BELOW_70.json,22.4,36.574,36.525,,,WIN,NO_DATA,NO_DATA
2026-05-05T14:42:41-03:00,AXP_otc,CALL,61.8,65.0,3.2,20260505_144207_AXP_otc_BROKEN_ABOVE_90.json,33.0,117.221,117.238,117.232,117.216,WIN,WIN,LOSS
2026-05-05T14:41:05-03:00,AXP_otc,CALL,58.3,65.0,6.7,20260505_144120_AXP_otc_BROKEN_ABOVE_88.json,15.2,113.716,114.051,114.446,114.351,WIN,WIN,WIN
2026-05-05T14:41:52-03:00,AXP_otc,CALL,58.3,65.0,6.7,20260505_144207_AXP_otc_BROKEN_ABOVE_90.json,16.0,117.221,117.238,117.232,117.216,WIN,WIN,LOSS
2026-05-05T10:20:04-03:00,LTCUSD_otc,PUT,55.3,62.0,6.7,20260505_101958_LTCUSD_otc_BROKEN_BELOW_25.json,5.4,59.53,59.53,59.54,59.5,DRAW,LOSS,WIN
2026-05-05T15:56:40-03:00,LTCUSD_otc,PUT,55.3,62.0,6.7,20260505_155616_LTCUSD_otc_BROKEN_BELOW_122.json,23.3,55.45,55.54,55.44,55.14,LOSS,WIN,WIN
